Word1,Word2,OriginSimilarity,PageSimilarity,Leacock-Chodorow Similarity,Wu-Palmer Similarity,res_similarity,jcn_similarity,lin_similarity
account,explanation,2.0,0.6038230702364353,2.0991822995700673,2.0323000827018904,8.323117011260397e-297,0.2380952380952381,0.9734241195592839
account,invoice,3.75,1.1352779496833891,2.713363792717752,2.411208707166306,1.712637014024389e-296,0.5555555555555556,1.8249331382391993
account,statement,3.6818181819999998,0.5812088114080838,2.184941248658208,2.3565701115826183,1.0928412159061416e-296,1.030150533478716e-300,1.4316171362416314
acoustic,remedy,1.2272727270000001,2.297655155109661,3.929705759188641,4.550825156705589,3.350702829214754e-296,1.2915849485656674e-300,9.200810491183037e-299
acrylic,cloth,2.739130435,1.5601525287565243,3.691948824784485,4.643911338565836,1.9251055553146896e-296,9.317825834947124e-301,5.329779047932514e-299
action,adjustment,2.0,0.40735035812025955,1.9314541790822979,2.05068255279258,6.88976511177303e-297,6.713945530229885e-301,0.6747061570129366
action,entrance,1.5833333330000001,0.4076989435034779,1.9077409402986136,1.927254440925,7.26219219179651e-297,7.164760805521088e-301,0.7473388385412991
activity,event,4.083333333,0.8228311706050904,3.0703447590550423,2.691202561759462,9.249038735567406e-297,1.4016238123766453e-300,1.356604569237907
activity,music,2.6818181819999998,0.5105844853149746,2.1821247779772275,1.909902854853041,4.422827215150314e-297,8.103707789683494e-301,0.5296224311822252
activity,skiing,3.45,0.5145679465311515,2.167750731576226,2.1966317921841725,5.9926325460126366e-297,6.201323406892249e-301,1.7770324574545298e-299
addition,segment,2.5,0.45257422154907934,2.110350171249115,1.4807338717740106,5.240902837911705e-297,7.0434852882133245e-301,0.6092110414839922
adhesive,glue,4.608695652,2.8901432201012254,6.278016126986185,8.571360816246676,7.469401219549099e-296,8.861593198276584e-300,9.175814521212933
adult,dentist,2.47826087,0.9941814121282189,3.5517122177339893,5.428354611989363,2.600489847298535e-296,1.1119622274218497e-300,3.713890057704541
adult,doctor,2.782608696,0.7817036352495474,2.9825035220616893,4.366869169223625,1.4807625058774693e-296,1.0561500239263209e-300,1.7137623802260267
afternoon,substance,1.0,0.5411588819155129,2.4845448489116855,2.064483956975116,4.7977980536456115e-297,7.2509027079596635e-301,0.8699537294571951
age,childhood,3.782608696,0.8771894350093492,3.2025193931430493,3.0476698955929664,1.3712166288478342e-296,8.327772998221971e-301,2.2457579112712303
agency,army,2.916666667,0.7487556117003273,2.6925042187564134,3.474183891277167,1.5045251881094344e-296,9.645899224955242e-301,1.3691570285491996
