Word1,Word2,OriginSimi,GoogleSimi
account,explanation,2.0,0.24153916694438213
account,invoice,3.75,0.27644321153260226
account,statement,3.6818181819999998,0.19284521254044665
acoustic,remedy,1.2272727270000001,0.0315240384698114
acrylic,cloth,2.739130435,0.4250924431624541
action,adjustment,2.0,0.16254760207647773
action,entrance,1.5833333330000001,-0.005555550619654926
activity,event,4.083333333,0.15490643340063476
activity,music,2.6818181819999998,0.1232068951620965
activity,skiing,3.45,0.12253971377023158
addition,segment,2.5,0.18382152094711698
adhesive,glue,4.608695652,0.5828511155777107
adult,dentist,2.47826087,0.16337623007772673
adult,doctor,2.782608696,0.14563732889298753
afternoon,substance,1.0,0.09629164754775668
age,childhood,3.782608696,0.32420492652101485
agency,army,2.916666667,0.13402476104896202
agency,office,3.857142857,0.3410532750051577
agency,police,3.19047619,0.1715707205644229
agent,spy,4.0,0.22239892361915498
agreement,contract,4.476190476,0.5878522740154044
aim,purpose,4.3636363639999995,0.4913741859609342
aircraft,balloon,2.869565217,0.30553919336695057
aircraft,yacht,2.434782609,0.36626050779862773
alarm,horn,3.458333333,0.25053892752058105
alarm,press,2.0,0.04788225474164394
algorithm,search,1.863636364,0.18196695863689755
alien,stranger,3.428571429,0.19160335343081322
alloy,metal,3.954545455,0.547253668695912
alphabet,script,3.5,0.24505447281683213
aluminum,oxygen,1.608695652,0.18261118075381272
amount,distance,1.9583333330000001,0.1468739075046405
amount,number,4.1363636360000005,0.4580297922518637
amount,season,1.434782609,0.09351824242515593
amusement,athletics,2.6,0.09771433905453887
amusement,play,4.041666667,0.0216762822965022
amusement,procedure,1.454545455,0.006005165724916673
anatomy,creation,2.565217391,0.03574077596446573
animal,flora,2.0,0.26806764971400987
animal,worm,2.72,0.18760521018058174
ankle,joint,4.227272727,0.09240589944895308
anniversary,birthday,3.727272727,0.6355036927043981
answer,plea,2.44,0.1278296760876476
apparel,dress,4.227272727,0.363899139446507
appearance,shadow,2.52173913,0.06120753210186168
apple,bank,1.125,0.09847898405122307
apple,orange,3.47826087,0.39203461369995707
apple,pod,2.0434782609999997,0.17623195140683773
appliance,dryer,3.333333333,0.4007231250814258
appliance,refrigerator,4.227272727,0.40414555256286216
approach,swing,1.6521739130000002,0.2298233453067868
approval,encouragement,2.8636363639999995,0.2211473068113947
approving,interaction,2.0,-0.028190506425021383
arc,rainbow,3.347826087,0.2020459116122258
architecture,engineering,3.25,0.4252658195129078
area,patio,2.545454545,0.20539107989107397
area,region,4.318181818,0.5685420477866725
argument,evidence,3.045454545,0.4030219525353411
argument,indication,1.772727273,0.21126716089077036
arm,arrow,2.230769231,0.28732320016748214
arm,missile,2.772727273,0.1070710591341294
armor,mail,1.913043478,0.11141512793961253
army,legion,3.285714286,0.31562648301320717
aroma,fragrance,4.681818182,0.4951691462284757
aroma,smell,4.19047619,0.7462227704680844
arrangement,blizzard,1.25,0.006453623125548978
arrangement,room,2.3809523809999997,0.13030664253809998
article,girl,1.208333333,0.0716186816288385
artillery,gun,3.541666667,0.3172894587006125
aspen,maple,2.791666667,0.44410817254287627
ass,donkey,4.85,0.3451817248225942
assembly,crowd,3.3636363639999995,0.11833681016388552
assets,capital,4.090909091,0.3060295212022368
assets,credit,3.47826087,0.2780695766461043
assets,income,4.038461538,0.37657982578238514
association,organization,4.3623188410000004,0.5026217867814415
athlete,participant,3.458333333,0.25337240705396197
athletics,racing,3.826086957,0.2874999097397459
athletics,swimming,3.45,0.45306572007696355
attitude,notice,1.486486486,0.15540447188336276
attitude,study,1.88,0.04445813595494517
attorney,lawyer,4.681818182,0.8204511233552216
attraction,pressure,1.565217391,0.08865930490468785
attraction,quality,2.347826087,0.05594451166375894
